Fixed Word                               Original Word                  File                                                              Page   Method
ʾath                                     ‘ath                           YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
ʿAthalyah                                ‘Athalyah                      YY-s03v05-Observations-Understanding.docx                         146    hebrew-pattern
ʿathuwd                                  ‘athuwd                        YY-s05v03-Babel-Chemah-Venomous.docx                              308    hebrew-pattern
ʿatseh                                   ‘atseh                         YY-s04v04-Coming Home-Basar-Herald.docx                           28     hebrew-pattern
ʾaw                                      ‘aw                            YY-s01v02-An Intro to God-Mitswah-Instructions.docx               214    hebrew-pattern
ʾawah                                    ‘awah                          YY-s02v07-Yada Yahowah-Shanah-Years.docx                          83     hebrew-pattern
ʾAwan                                    ‘Awan                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾawel                                    ‘awel                          YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
ʾawlash                                  ‘awlash                        YY-s06v04-Twistianity-Incredible.docx                             102    heuristic
ʾawʿah                                   ‘aw’ah                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               29     heuristic
ʾay                                      ‘ay                            YY-s03v01-Observations-Perspective.docx                           412    blb
ʿayam                                    ‘ayam                          YY-s03v04-Observations-Teaching.docx                              349    blb
ʿayeph                                   ‘ayeph                         YY-s03v03-Observations-Growing.docx                               346    hebrew-pattern
ʾayil                                    ‘ayil                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  326    hebrew-pattern
ʾayilth                                  ‘ayilth                        YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  295    hebrew-pattern
ʾayin                                    ‘ayin                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               233    blb
ʾayn                                     ‘ayn                           YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      223    hebrew-pattern
ʿaynym                                   ‘aynym                         YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾAyom                                    ‘Ayom                          YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      468    blb
ʾayom                                    ‘ayom                          YY-s06v04-Twistianity-Incredible.docx                             30     blb
ʾazakarah                                ‘azakarah                      YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   379    hebrew-pattern
ʿazaq                                    ‘azaq                          YY-s03v03-Observations-Growing.docx                               281    blb
ʿazary                                   ‘azary                         YY-s05v03-Babel-Chemah-Venomous.docx                              140    hebrew-pattern
ʾazkarah                                 ‘azkarah                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾAzkarah                                 ‘Azkarah                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾAzkarah…                                ‘Azkarah…                      YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾe-hayah                                 ‘e-hayah                       YY-s02v07-Yada Yahowah-Shanah-Years.docx                          547    hebrew-pattern
ʾe-hayahʾ                                ‘e-hayah’                      YY-s02v07-Yada Yahowah-Shanah-Years.docx                          547    heuristic
ʾe-l                                     ‘e-l                           YY-s03v05-Observations-Understanding.docx                         583    hebrew-pattern
ʿebed                                    ‘ebed                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  117    blb
ʾebeduw                                  ‘ebeduw                        YY-s03v01-Observations-Perspective.docx                           260    heuristic
ʾebedym                                  ‘ebedym                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           615    heuristic
ʾeben                                    ‘eben                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               286    blb
ʾEbown                                   ‘Ebown                         YY-s06v03-Twistianity-Devils Advocate.docx                        1      heuristic
ʾEbownym                                 ‘Ebownym                       YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    heuristic
ʾeboyown                                 ‘eboyown                       YY-s04v02-Coming Home-Mashyach-Messiah.docx                       192    hebrew-pattern
ʿEdah                                    ‘Edah                          YY-s02v07-Yada Yahowah-Shanah-Years.docx                          498    hebrew-pattern
ʿedah                                    ‘edah                          YY-s02v08-Yada Yahowah-'Azab-Separation.docx                      256    hebrew-pattern
ʾedeny                                   ‘edeny                         YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   213    hebrew-pattern
ʾeder                                    ‘eder                          YY-s03v02-Observations-Covenant.docx                              497    blb
ʿednah                                   ‘ednah                         YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   231    hebrew-pattern
ʾedon                                    ‘edon                          YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
ʾedonay                                  ‘edonay                        YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   83     hebrew-pattern
ʾedowny                                  ‘edowny                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           677    heuristic
ʿegabah                                  ‘egabah                        YY-s05v03-Babel-Chemah-Venomous.docx                              165    hebrew-pattern
ʿegeb                                    ‘egeb                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               302    hebrew-pattern
ʾehem                                    ‘ehem                          YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   118    heuristic
ʾeith                                    ‘eith                          YY-s03v02-Observations-Covenant.docx                              249    hebrew-pattern
ʾEldod                                   ‘Eldod                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           382    hebrew-pattern
ʾElQanah                                 ‘ElQanah                       YY-s04v04-Coming Home-Basar-Herald.docx                           397    hebrew-pattern
ʾElyaqym                                 ‘Elyaqym                       YY-s03v05-Observations-Understanding.docx                         174    hebrew-pattern
ʾElym                                    ‘Elym                          YY-s03v05-Observations-Understanding.docx                         213    heuristic
ʾElyowm                                  ‘Elyowm                        YY-s06v01-Twistianity-Appalling.docx                              222    heuristic
ʿElyown                                  ‘Elyown                        YY-s03v04-Observations-Teaching.docx                              147    hebrew-pattern
ʾElyʿam                                  ‘Ely’am                        YY-s04v04-Coming Home-Basar-Herald.docx                           411    hebrew-pattern
ʾElʿaleh                                 ‘El’aleh                       YY-s03v05-Observations-Understanding.docx                         205    heuristic
ʾemer                                    ‘emer                          YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   111    blb
ʾemerym                                  ‘emerym                        YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     431    heuristic
ʾemeth                                   ‘emeth                         YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                90     hebrew-pattern
ʾemory                                   ‘emory                         YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    hebrew-pattern
ʾEmowry                                  ‘Emowry                        YY-s03v04-Observations-Teaching.docx                              253    heuristic
ʿenab                                    ‘enab                          YY-s04v02-Coming Home-Mashyach-Messiah.docx                       137    blb
ʾenash                                   ‘enash                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           57     hebrew-pattern
ʾenosh                                   ‘enosh                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               72     hebrew-pattern
ʾenowsh                                  ‘enowsh                        YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     387    hebrew-pattern
ʿenuwth                                  ‘enuwth                        YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  337    hebrew-pattern
ʾepes                                    ‘epes                          YY-s04v04-Coming Home-Basar-Herald.docx                           310    blb
ʾephes                                   ‘ephes                         YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    hebrew-pattern
ʾephowd                                  ‘ephowd                        YY-s04v02-Coming Home-Mashyach-Messiah.docx                       139    hebrew-pattern
ʾephowʾ                                  ‘ephow’                        YY-s06v04-Twistianity-Incredible.docx                             35     heuristic
ʾEphraym                                 ‘Ephraym                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾepowʾ                                   ‘epow’                         YY-s03v01-Observations-Perspective.docx                           38     heuristic
ʾereb                                    ‘ereb                          YY-s03v05-Observations-Understanding.docx                         361    blb
ʾeresh                                   ‘eresh                         YY-s04v02-Coming Home-Mashyach-Messiah.docx                       189    hebrew-pattern
ʾerets                                   ‘erets                         YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  48     hebrew-pattern
ʾEsaʿow                                  ‘Esaʾow                        YY-s02v07-Yada Yahowah-Shanah-Years.docx                          177    heuristic
ʾEsaʿow                                  ‘Esa’ow                        YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  392    heuristic
ʿeseb                                    ‘eseb                          YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     blb
ʾeserym                                  ‘eserym                        YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   122    heuristic
ʾesh                                     ‘esh                           YY-s04v04-Coming Home-Basar-Herald.docx                           266    hebrew-pattern
ʾeshar                                   ‘eshar                         YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    hebrew-pattern
ʾesheh                                   ‘esheh                         YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾEshkowl                                 ‘Eshkowl                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           435    hebrew-pattern
ʾeshkowl                                 ‘eshkowl                       YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           435    hebrew-pattern
ʾeshnab                                  ‘eshnab                        YY-s03v01-Observations-Perspective.docx                           385    hebrew-pattern
ʾeshym                                   ‘eshym                         YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     heuristic
ʾEshym                                   ‘Eshym                         YY-s04v04-Coming Home-Basar-Herald.docx                           471    heuristic
ʾesreh                                   ‘esreh                         YY-s05v03-Babel-Chemah-Venomous.docx                              97     heuristic
ʾesrym                                   ‘esrym                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               390    heuristic
ʾesrymym                                 ‘esrymym                       YY-s05v03-Babel-Chemah-Venomous.docx                              464    heuristic
ʾestem                                   ‘estem                         YY-s05v03-Babel-Chemah-Venomous.docx                              234    heuristic
ʾeth                                     ‘eth                           YY-s05v02-Babel-Tow'ebah-Abominable.docx                          115    hebrew-pattern
ʾEthanym                                 ‘Ethanym                       YY-s02v07-Yada Yahowah-Shanah-Years.docx                          6      heuristic
ʾethmowl                                 ‘ethmowl                       YY-s03v05-Observations-Understanding.docx                         194    hebrew-pattern
ʾethnah                                  ‘ethnah                        YY-s02v03-Yada Yahowah-Beyth-In the Family.docx                   220    hebrew-pattern
ʿets                                     ‘ets                           YY-s04v04-Coming Home-Basar-Herald.docx                           150    hebrew-pattern
ʾetsbaʿ                                  ‘etsba’                        YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾetsel                                   ‘etsel                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           165    hebrew-pattern
ʾetsem                                   ‘etsem                         YY-s05v03-Babel-Chemah-Venomous.docx                              234    hebrew-pattern
ʾEtsyown                                 ‘Etsyown                       YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  20     heuristic
ʾewmuwn                                  ‘ewmuwn                        YY-s01v02-An Intro to God-Mitswah-Instructions.docx               214    heuristic
ʾeyal                                    ‘eyal                          YY-s02v07-Yada Yahowah-Shanah-Years.docx                          308    blb
ʾEyalowth                                ‘Eyalowth                      YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  326    hebrew-pattern
ʾeyk                                     ‘eyk                           YY-s04v02-Coming Home-Mashyach-Messiah.docx                       37     hebrew-pattern
ʾEylat                                   ‘Eylat                         YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  20     hebrew-pattern
ʾeynʿaglym                               ‘eyn’aglym                     YY-s05v03-Babel-Chemah-Venomous.docx                              454    heuristic
ʾeyphah                                  ‘eyphah                        YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾeyphoh                                  ‘eyphoh                        YY-s03v03-Observations-Growing.docx                               299    hebrew-pattern
ʿeyrm                                    ‘eyrm                          YY-s04v04-Coming Home-Basar-Herald.docx                           78     hebrew-pattern
ʿez                                      ‘ez                            YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       31     blb
ʾezrach                                  ‘ezrach                        YY-s04v04-Coming Home-Basar-Herald.docx                           243    hebrew-pattern
ʾEzrachy                                 ‘Ezrachy                       YY-s04v04-Coming Home-Basar-Herald.docx                           472    hebrew-pattern
ʾEzrachy                                 ‘Ezrachy                       YY-s04v04-Coming Home-Basar-Herald.docx                           472    hebrew-pattern
ʾezrowaʿ                                 ‘ezrowa’                       YY-s02v07-Yada Yahowah-Shanah-Years.docx                          275    hebrew-pattern
ʾHaShemʿ                                 ‘HaShemʾ                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     heuristic
ʾhuwʾ                                    ‘huwʾ                          YY-s04v02-Coming Home-Mashyach-Messiah.docx                       136    hebrew-pattern
ʿIbry                                    ‘Ibry                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  24     hebrew-pattern
ʾIdowaʾ                                  ‘Idowa’                        YY-s03v03-Observations-Growing.docx                               492    heuristic
ʾIerousalem                              ‘Ierousalem                    YY-s06v03-Twistianity-Devils Advocate.docx                        1      heuristic
ʾIesa                                    ‘Iesa                          YY-s03v05-Observations-Understanding.docx                         110    heuristic
ʾilah                                    ‘ilah                          YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           550    hebrew-pattern
ʾilem                                    ‘ilem                          YY-s06v01-Twistianity-Appalling.docx                              498    hebrew-pattern
ʾim                                      ‘im                            YY-s01v02-An Intro to God-Mitswah-Instructions.docx               417    hebrew-pattern
ʿimad                                    ‘imad                          YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                158    hebrew-pattern
ʾiower                                   ‘iower                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               137    hebrew-pattern
ʿiqesh                                   ‘iqesh                         YY-s02v07-Yada Yahowah-Shanah-Years.docx                          197    hebrew-pattern
ʾisah                                    ‘isah                          YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           420    heuristic
ʾIsh                                     ‘Ish                           YY-s03v03-Observations-Growing.docx                               140    hebrew-pattern
ʾisha                                    ‘isha                          YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   15     hebrew-pattern
ʾishah                                   ‘ishah                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           508    hebrew-pattern
ʿIsharown                                ‘Isharown                      YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    hebrew-pattern
ʿisharown                                ‘isharown                      YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  411    hebrew-pattern
ʿIshath                                  ‘Ishath                        YY-s03v03-Observations-Growing.docx                               538    hebrew-pattern
ʾishe                                    ‘ishe                          YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   15     hebrew-pattern
ʾIsrael                                  ‘Israel                        YY-s06v03-Twistianity-Devils Advocate.docx                        1      heuristic
ʾiwer                                    ‘iwer                          YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     441    hebrew-pattern
ʾiwer                                    ‘iwer                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  77     hebrew-pattern
ʿiyr                                     ‘iyr                           YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   138    hebrew-pattern
ʾiysh                                    ‘iysh                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               532    hebrew-pattern
ʾiyshym                                  ‘iyshym                        YY-s02v07-Yada Yahowah-Shanah-Years.docx                          288    heuristic
ʾlh                                      ‘lh                            YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                9      hebrew-pattern
ʾlo                                      ‘lo                            YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
ʾnabat                                   ‘nabat                         YY-s03v05-Observations-Understanding.docx                         155    heuristic
ʾnophingʾ                                ‘nophing’                      YY-s05v03-Babel-Chemah-Venomous.docx                              95     heuristic
ʿObadyah                                 ‘Obadyah                       YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾObed                                    ‘Obed                          YY-s04v04-Coming Home-Basar-Herald.docx                           16     blb
ʾohab                                    ‘ohab                          YY-s01v02-An Intro to God-Mitswah-Instructions.docx               301    blb
ʾohel                                    ‘ohel                          YY-s05v01-Babel-Chywah-Beast.docx                                 615    blb
ʾOholybah                                ‘Oholybah                      YY-s05v02-Babel-Tow'ebah-Abominable.docx                          360    hebrew-pattern
ʾolah                                    ‘olah                          YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                335    hebrew-pattern
ʾOlelah                                  ‘Olelah                        YY-s03v05-Observations-Understanding.docx                         310    heuristic
ʿomeq                                    ‘omeq                          YY-s03v04-Observations-Teaching.docx                              123    blb
ʾorach                                   ‘orach                         YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     145    hebrew-pattern
ʾorek                                    ‘orek                          YY-s05v03-Babel-Chemah-Venomous.docx                              388    blb
ʿoreph                                   ‘oreph                         YY-s01v02-An Intro to God-Mitswah-Instructions.docx               420    hebrew-pattern
ʿOreph                                   ‘Oreph                         YY-s04v02-Coming Home-Mashyach-Messiah.docx                       291    hebrew-pattern
ʾoseph                                   ‘oseph                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           137    hebrew-pattern
ʿosheq                                   ‘osheq                         YY-s01v03-An Intro to God-Towrah Mizmowr.docx                     196    hebrew-pattern
ʾow                                      ‘ow                            YY-s01v02-An Intro to God-Mitswah-Instructions.docx               332    hebrew-pattern
ʾowaʾ                                    ‘owa’                          YY-s03v02-Observations-Covenant.docx                              237    heuristic
ʾowb                                     ‘owb                           YY-s02v06-Yada Yahowah-Mow'ed-Appointments.docx                   404    hebrew-pattern
ʿowlal                                   ‘owlal                         YY-s06v04-Twistianity-Incredible.docx                             462    hebrew-pattern
ʾowlam                                   ‘owlam                         YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  96     hebrew-pattern
ʾOwlam                                   ‘Owlam                         YY-s04v04-Coming Home-Basar-Herald.docx                           563    hebrew-pattern
ʿowph                                    ‘owph                          YY-s04v04-Coming Home-Basar-Herald.docx                           38     hebrew-pattern
ʾowphan                                  ‘owphan                        YY-s05v02-Babel-Tow'ebah-Abominable.docx                          26     hebrew-pattern
ʾowr                                     ‘owr                           YY-s05v03-Babel-Chemah-Venomous.docx                              133    hebrew-pattern
ʾowth                                    ‘owth                          YY-s02v04-Yada Yahowah-Miqra'ey-Invitations.docx                  51     hebrew-pattern
ʾowts                                    ‘owts                          YY-s03v02-Observations-Covenant.docx                              237    hebrew-pattern
ʾowyah                                   ‘owyah                         YY-s04v02-Coming Home-Mashyach-Messiah.docx                       463    hebrew-pattern
ʾoyab                                    ‘oyab                          YY-s02v05-Yada Yahowah-Qatsyr-Harvests.docx                       36     hebrew-pattern
ʾsatisfact-chʿilʾ                        ‘satisfact-ch’il’              YY-s06v03-Twistianity-Devils Advocate.docx                        1      heuristic
ʿshaba                                   ‘shaba                         YY-s03v02-Observations-Covenant.docx                              544    hebrew-pattern
ʾtsam                                    ‘tsam                          YY-s06v04-Twistianity-Incredible.docx                             34     hebrew-pattern
ʿugah                                    ‘ugah                          YY-s04v04-Coming Home-Basar-Herald.docx                           230    hebrew-pattern
ʾumlal                                   ‘umlal                         YY-s06v05-Twistianity-Foolology.docx                              90     hebrew-pattern
ʾuwbal                                   ‘uwbal                         YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           159    hebrew-pattern
ʾUzal                                    ‘Uzal                          YY-s05v03-Babel-Chemah-Venomous.docx                              38     blb
ʾwa                                      ‘wa                            YY-s06v05-Twistianity-Foolology.docx                              73     hebrew-pattern
ʾwl                                      ‘wl                            YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                9      hebrew-pattern
ʾy                                       ‘y                             YY-s06v04-Twistianity-Incredible.docx                             370    hebrew-pattern
ʾYashuwʿah                               ‘Yashuw’ah                     YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     heuristic
ʿYrad                                    ‘Yrad                          YY-s02v02-Yada Yahowah-'Adam-The Story of Man.docx                214    hebrew-pattern
ʾʿEldod                                  ‘‘Eldod                        YY-s02v09-Yada Yahowah-'Eth Tsarah-Time of Trouble.docx           384    heuristic
ʾchay                                    ’chay                          YY-s02v01-Yada Yahowah-Bare'syth-Beginning.docx                   11     hebrew-pattern
